-10	0.048370956	-0.003439818	0.058081582	0.059542498					HbO2 AUC	HbRAUC	HbO2AMP	HbRAMP		Normalized				
-9.96	0.049304627	-0.004410339	0.058082515	0.059543455				-2.48	0.052858101	-0.04002314	0.058459693	0.05993012		-2.48	0.135421879	-0.118566656	-7.86113E-05	-8.05886E-05
-9.92	0.050515439	-0.00574415	0.058083553	0.059544519				-2.44	0.04757109	-0.040631629	0.058449481	0.059919651		-2.44	0.130134868	-0.119175145	-8.88231E-05	-9.10573E-05
-9.88	0.051268309	-0.007081646	0.058083874	0.059544848				-2.4	0.043312817	-0.041011816	0.058449364	0.059919531		-2.4	0.125876595	-0.119555332	-8.89405E-05	-9.11776E-05
-9.84	0.051873105	-0.008580877	0.058085018	0.059546021				-2.36	0.039348472	-0.041418924	0.058449427	0.059919595		-2.36	0.12191225	-0.11996244	-8.88779E-05	-9.11134E-05
-9.8	0.052841262	-0.010419502	0.058087112	0.059548168				-2.32	0.036100577	-0.042019594	0.058449936	0.059920117		-2.32	0.118664355	-0.12056311	-8.83687E-05	-9.05915E-05
-9.76	0.05334856	-0.012208456	0.058088778	0.059549875				-2.28	0.032617217	-0.042414063	0.058450199	0.059920387		-2.28	0.115180995	-0.120957579	-8.81058E-05	-9.0322E-05
-9.72	0.052311451	-0.01409844	0.058079895	0.059540769				-2.24	0.02837817	-0.042703436	0.058457654	0.059928029		-2.24	0.110941948	-0.121246952	-8.06509E-05	-8.26795E-05
-9.68	0.053004706	-0.015945866	0.058079887	0.059540761				-2.2	0.023576604	-0.04302806	0.058446752	0.059916853		-2.2	0.106140382	-0.121571576	-9.15525E-05	-9.38553E-05
-9.64	0.053054946	-0.017852624	0.058080605	0.059541497				-2.16	0.019266435	-0.043402204	0.058436648	0.059906495		-2.16	0.101830212	-0.12194572	-0.000101657	-0.000104214
-9.6	0.053017102	-0.019813401	0.058082893	0.059543842				-2.12	0.016744584	-0.043651701	0.058437002	0.059906858		-2.12	0.099308362	-0.122195218	-0.000101303	-0.000103851
-9.56	0.051609121	-0.022045326	0.058073878	0.0595346				-2.08	0.014154183	-0.043583207	0.058437072	0.05990693		-2.08	0.096717961	-0.122126723	-0.000101232	-0.000103778
-9.52	0.049863355	-0.024270429	0.058063042	0.059523492				-2.04	0.011133858	-0.04352573	0.058446003	0.059916085		-2.04	0.093697636	-0.122069246	-9.23018E-05	-9.46235E-05
-9.48	0.049187823	-0.026258942	0.058063462	0.059523922				-2	0.008719504	-0.043193682	0.058446059	0.059916143		-2	0.091283282	-0.121737199	-9.22457E-05	-9.45659E-05
-9.44	0.048706752	-0.028216555	0.05806456	0.059525048				-1.96	0.005011036	-0.042684089	0.058436135	0.059905969		-1.96	0.087574814	-0.121227605	-0.000102169	-0.000104739
-9.4	0.04612647	-0.030207812	0.05805745	0.059517759				-1.92	0.003057486	-0.041911184	0.058436075	0.059905908		-1.92	0.085621264	-0.120454701	-0.000102229	-0.0001048
-9.36	0.044762188	-0.032140276	0.058058591	0.059518929				-1.88	0.000438664	-0.041039634	0.058445742	0.059915818		-1.88	0.083002442	-0.11958315	-9.25627E-05	-9.48909E-05
-9.32	0.041930766	-0.034254117	0.058049297	0.059509401				-1.84	-0.002586283	-0.039713863	0.058457282	0.059927648		-1.84	0.079977495	-0.11825738	-8.10226E-05	-8.30605E-05
-9.28	0.04034536	-0.036064804	0.058050258	0.059510386				-1.8	-0.004560175	-0.038202677	0.058457277	0.059927643		-1.8	0.078003603	-0.116746194	-8.10272E-05	-8.30653E-05
